function,depth,seed,init_mode,snapped,final_loss,snappability,nan_epoch,converged,symbolic_form,expected_depth,post_snap_loss,valid_snap
exp,2,0,blind,1,0.6877624988555908,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,1,blind,1,0.6877624988555908,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,2,blind,1,0.6877630352973938,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,3,blind,1,1.7759157344698906e-06,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,4,blind,1,0.6922811269760132,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,5,blind,1,0.6877624988555908,1.0,-1,1,"eml(x,x)",2,0.6877624988555908,0
exp,2,0,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,1,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,2,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,3,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,4,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,2,5,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,0,blind,1,0.15265175700187683,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,1,blind,1,0.19243112206459045,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,2,blind,1,0.5742102861404419,1.0,-1,1,"eml(x,eml(1,x))",2,1.0600560903549194,0
exp,3,3,blind,1,0.140631303191185,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,4,blind,1,0.18965747952461243,1.0,-1,1,"eml(1,eml(1,1))",2,1.5039230585098267,0
exp,3,5,blind,1,0.23369552195072174,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,0,warm,1,1.7832602262496948,1.0,-1,1,"eml(1,1)",2,1.8949049711227417,0
exp,3,1,warm,1,1.7992483377456665,1.0,-1,1,"eml(1,1)",2,1.8949049711227417,0
exp,3,2,warm,1,1.8118032217025757,1.0,-1,1,"eml(1,1)",2,1.8949049711227417,0
exp,3,3,warm,1,1.7822518348693848,1.0,-1,1,"eml(1,1)",2,1.8949049711227417,0
exp,3,4,warm,1,1.8136473894119263,1.0,-1,1,"eml(1,1)",2,1.8949049711227417,0
exp,3,5,warm,1,1.8239457607269287,1.0,-1,1,"eml(1,1)",2,1.8949049711227417,0
ln,5,0,blind,1,12.160786628723145,1.0,-1,1,"eml(1,eml(eml(eml(x,1),1),x))",4,6.455839157104492,0
ln,5,1,blind,1,3.256178617477417,1.0,-1,1,"eml(1,eml(eml(eml(x,1),x),1))",4,6.473733901977539,0
ln,5,2,blind,1,3.4108147621154785,1.0,-1,1,"eml(1,eml(eml(eml(x,1),x),x))",4,6.473615646362305,0
ln,5,3,blind,1,7.69554328918457,1.0,-1,1,"eml(1,eml(eml(eml(x,1),1),1))",4,6.457625389099121,0
ln,5,4,blind,1,3.3161303997039795,1.0,-1,1,"eml(1,eml(eml(eml(x,1),1),x))",4,6.455839157104492,0
ln,5,5,blind,1,3.3243772983551025,1.0,-1,1,"eml(1,eml(eml(eml(x,1),1),1))",4,6.457625389099121,0
ln,5,0,warm,1,0.659782350063324,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,1,warm,1,0.666467010974884,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,2,warm,1,0.6631195545196533,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,3,warm,1,0.6651492118835449,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,4,warm,1,0.6580416560173035,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
ln,5,5,warm,1,0.6617628931999207,1.0,-1,1,"eml(1,eml(1,1))",4,0.6690109968185425,0
exp,3,0,blind,1,0.13737276196479797,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,1,blind,1,0.13438354432582855,1.0,-1,1,"eml(x,eml(1,x))",2,1.0600560903549194,0
exp,3,2,blind,1,0.15756447613239288,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,3,blind,1,0.1591288447380066,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,4,blind,1,0.08892526477575302,1.0,-1,1,"eml(x,eml(1,1))",2,0.9999999403953552,0
exp,3,5,blind,1,0.1287561058998108,1.0,-1,1,"eml(x,eml(1,x))",2,1.0600560903549194,0
exp,3,0,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,1,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,2,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
exp,3,3,warm,1,5.948822945356369e-08,1.0,-1,1,"eml(x,1)",2,5.948822945356369e-08,1
